ID;LIMIT_BAL;SEX;EDUCATION;MARRIAGE;AGE;PAY_0;PAY_2;PAY_3;PAY_4;PAY_5;PAY_6;BILL_AMT1;BILL_AMT2;BILL_AMT3;BILL_AMT4;BILL_AMT5;BILL_AMT6;PAY_AMT1;PAY_AMT2;PAY_AMT3;PAY_AMT4;PAY_AMT5;PAY_AMT6;default.payment.next.month;risk_leak;BILL_AMT_SUM;LIMIT_BAL_LOG;CITY;RISK_RATING
11;200000.0;2.0;3.0;;34.0;0;0;2;0;0;-1;11073.0;9787.0;5535.0;2513.0;1828.0;3731.0;2306.0;12.0;50.0;300.0;3738.0;66.0;0;0.07879889066429227;34467.0;12.206.077.645.517.600;City_46;1
12;260000.0;2.0;1.0;2.0;51.0;-1;-1;-1;-1;-1;2;12261.0;21670.0;9966.0;8517.0;22287.0;13668.0;21818.0;9966.0;8583.0;22301.0;0.0;3640.0;0;-0.11916277091141969;88369.0;12.468.440.756.144.100;City_10;1
13;630000.0;2.0;2.0;2.0;41.0;-1;0;-1;-1;-1;-1;12137.0;6500.0;6500.0;6500.0;6500.0;2870.0;1000.0;6500.0;6500.0;6500.0;2870.0;0.0;0;-0.04707747804815704;41007.0;13.353.476.685.668.000;City_7;1
14;70000.0;1.0;2.0;2.0;30.0;1;2;2;0;0;2;65802.0;67369.0;65701.0;66782.0;36137.0;36894.0;3200.0;0.0;3000.0;3000.0;1500.0;0.0;1;0.9318779063695704;338685.0;11.156.264.806.643.700;City_2;2
15;250000.0;1.0;1.0;2.0;29.0;0;0;0;0;0;0;70887.0;67060.0;63561.0;59696.0;56875.0;55512.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;0;0.015565897113188685;373591.0;12.429.220.196.836.300;City_26;1
16;50000.0;2.0;3.0;3.0;23.0;1;2;0;0;0;0;50614.0;29173.0;28116.0;28771.0;29531.0;30211.0;0.0;1500.0;1100.0;1200.0;1300.0;1100.0;0;-0.03827559301698888;196416.0;10.819.798.284.210.200;City_11;2
17;20000.0;1.0;1.0;2.0;24.0;0;0;2;2;2;2;15376.0;18010.0;17428.0;18338.0;17905.0;19104.0;3200.0;0.0;1500.0;0.0;1650.0;0.0;1;0.9564147862016479;106161.0;990.353.755.128.617;City_50;1
18;320000.0;1.0;1.0;1.0;49.0;0;0;0;-1;-1;-1;253286.0;246536.0;194663.0;70074.0;5856.0;195599.0;10358.0;10000.0;75940.0;20000.0;195599.0;50000.0;0;0.03949671469299256;966014.0;12.676.079.399.771.000;City_47;1
19;360000.0;2.0;1.0;1.0;49.0;1;-2;-2;-2;-2;-2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.024178222824274294;0.0;12.793.862.088.206.200;City_43;2
20;180000.0;2.0;1.0;2.0;29.0;1;-2;-2;-2;-2;-2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.049353097954805664;0.0;12.100.717.685.412.400;City_29;2
21;130000.0;2.0;3.0;2.0;39.0;0;0;0;0;0;-1;38358.0;27688.0;24489.0;20616.0;11802.0;930.0;3000.0;1537.0;1000.0;2000.0;930.0;33764.0;0;0.024878042104237694;123883.0;11.775.297.421.715.800;City_39;1
22;120000.0;2.0;2.0;1.0;39.0;-1;-1;-1;-1;-1;-1;316.0;316.0;316.0;0.0;632.0;316.0;316.0;316.0;0.0;632.0;316.0;0.0;1;0.874106135349748;1896.0;11.695.255.355.062.700;City_23;1
23;70000.0;2.0;;2.0;26.0;2;0;0;2;2;2;41087.0;42445.0;45020.0;44006.0;46905.0;46012.0;2007.0;3582.0;0.0;3601.0;0.0;1820.0;1;0.8599542688859309;265475.0;11.156.264.806.643.700;City_5;2
24;450000.0;2.0;1.0;1.0;40.0;-2;-2;-2;-2;-2;-2;5512.0;19420.0;1473.0;560.0;0.0;0.0;19428.0;1473.0;560.0;0.0;0.0;1128.0;1;10.766.903.772.701.800;26965.0;13.017.005.083.966.200;City_4;1
25;90000.0;1.0;1.0;2.0;23.0;0;0;0;-1;0;0;4744.0;7070.0;0.0;5398.0;6360.0;8292.0;5757.0;0.0;5398.0;1200.0;2045.0;2000.0;0;0.004314205480169039;31864.0;11.407.576.060.361.700;City_35;1
26;50000.0;1.0;3.0;2.0;23.0;0;0;0;0;0;0;47620.0;41810.0;36023.0;28967.0;29829.0;30046.0;1973.0;1426.0;1001.0;1432.0;1062.0;997.0;0;0.11869910009352849;214295.0;10.819.798.284.210.200;City_50;1
27;60000.0;1.0;1.0;2.0;27.0;1;-2;-1;-1;-1;-1;-109.0;-425.0;259.0;-57.0;127.0;-189.0;0.0;1000.0;0.0;500.0;0.0;1000.0;1;10.975.965.043.738.200;-394.0;11.002.116.507.732.000;City_30;2
28;50000.0;2.0;3.0;2.0;30.0;0;0;0;0;0;0;22541.0;16138.0;17163.0;17878.0;18931.0;19617.0;1300.0;1300.0;1000.0;1500.0;1000.0;1012.0;0;0.016282272970592624;112268.0;10.819.798.284.210.200;City_34;1
29;50000.0;2.0;3.0;1.0;47.0;-1;-1;-1;-1;-1;-1;650.0;3415.0;3416.0;2040.0;30430.0;257.0;3415.0;3421.0;2044.0;30430.0;257.0;0.0;0;0.10196112558873571;40208.0;10.819.798.284.210.200;City_22;1
30;50000.0;1.0;1.0;2.0;26.0;0;0;0;0;0;0;15329.0;16575.0;17496.0;17907.0;18375.0;11400.0;1500.0;1500.0;1000.0;1000.0;1600.0;0.0;0;0.17523629866281132;97082.0;10.819.798.284.210.200;City_18;1
31;230000.0;2.0;1.0;2.0;27.0;-1;-1;-1;-1;-1;-1;16646.0;17265.0;13266.0;15339.0;14307.0;36923.0;17270.0;13281.0;15339.0;14307.0;37292.0;0.0;0;0.011800801179792673;113746.0;12.345.838.935.721.900;City_47;1
32;50000.0;1.0;2.0;2.0;33.0;2;0;0;0;0;0;30518.0;29618.0;22102.0;22734.0;23217.0;23680.0;1718.0;1500.0;1000.0;1000.0;1000.0;716.0;1;0.8940652199859195;151869.0;10.819.798.284.210.200;City_2;2
33;100000.0;1.0;;2.0;32.0;0;0;0;0;0;0;93036.0;84071.0;82880.0;80958.0;78703.0;75589.0;3023.0;3511.0;3302.0;3204.0;3200.0;2504.0;0;0.019740275260003694;495237.0;1.151.293.546.492.020;City_31;1
34;500000.0;2.0;;1.0;54.0;-2;-2;-2;-2;-2;-2;10929.0;4152.0;22722.0;7521.0;71439.0;8981.0;4152.0;22827.0;7521.0;71439.0;981.0;51582.0;0;0.07670939441710961;125744.0;13.122.365.377.402.300;City_16;1
35;;;1.0;1.0;58.0;-2;-2;-2;-2;-2;-2;13709.0;5006.0;31130.0;3180.0;0.0;5293.0;5006.0;31178.0;3180.0;0.0;5293.0;768.0;0;0.08204941678181261;58318.0;;City_31;1
36;160000.0;1.0;1.0;2.0;30.0;-1;-1;-2;-2;-2;-1;30265.0;-131.0;-527.0;-923.0;-1488.0;-1884.0;131.0;396.0;396.0;565.0;792.0;0.0;0;-0.05373161307087028;25312.0;11.982.935.344.196.400;City_43;1
37;280000.0;1.0;2.0;1.0;40.0;0;0;0;0;0;0;186503.0;181328.0;180422.0;170410.0;173901.0;177413.0;8026.0;8060.0;6300.0;6400.0;6400.0;6737.0;0;-0.07912852341196669;1069977.0;1.254.254.845.357.350;City_7;1
38;60000.0;2.0;2.0;2.0;22.0;0;0;0;0;0;-1;15054.0;9806.0;11068.0;6026.0;-28335.0;18660.0;1500.0;1518.0;2043.0;0.0;47671.0;617.0;0;-0.012345757051101627;32279.0;11.002.116.507.732.000;City_5;1
39;50000.0;1.0;1.0;2.0;25.0;1;-1;-1;-2;-2;-2;0.0;780.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;1;11.604.223.815.204.400;780.0;10.819.798.284.210.200;City_50;2
40;280000.0;1.0;1.0;2.0;;-1;-1;2;-1;0;-1;498.0;9075.0;4641.0;9976.0;17976.0;9477.0;9075.0;0.0;9976.0;8000.0;9525.0;781.0;0;-0.010297287859531677;51643.0;1.254.254.845.357.350;City_23;1
41;360000.0;1.0;1.0;2.0;33.0;0;0;0;0;0;0;218668.0;221296.0;206895.0;628699.0;195969.0;179224.0;10000.0;7000.0;6000.0;188840.0;28000.0;4000.0;0;0.02382758889722566;1650751.0;12.793.862.088.206.200;City_25;1
42;70000.0;2.0;1.0;2.0;25.0;0;0;0;0;0;0;67521.0;66999.0;63949.0;63699.0;64718.0;65970.0;3000.0;4500.0;4042.0;2500.0;2800.0;2500.0;0;0.060613969205689816;392856.0;11.156.264.806.643.700;City_18;1
43;10000.0;1.0;2.0;2.0;22.0;0;0;0;0;0;0;1877.0;3184.0;6003.0;3576.0;3670.0;4451.0;1500.0;2927.0;1000.0;300.0;1000.0;500.0;0;0.049280046790281425;22761.0;9.210.440.366.976.510;City_49;1
44;140000.0;2.0;2.0;1.0;37.0;0;0;0;0;0;0;59504.0;61544.0;62925.0;64280.0;67079.0;69802.0;3000.0;3000.0;3000.0;4000.0;4000.0;3000.0;0;0.06684342723231747;385134.0;11.849.404.844.423.000;City_12;1
45;40000.0;2.0;1.0;2.0;30.0;0;0;0;2;0;0;18927.0;21295.0;25921.0;25209.0;26636.0;29197.0;3000.0;;0.0;2000.0;3000.0;0.0;0;-0.005979181435670295;147185.0;10.596.659.732.783.500;City_22;1
46;210000.0;1.0;1.0;2.0;29.0;-2;-2;-2;-2;-2;-2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.9882682070262085;0.0;1.225.486.757.159.300;City_24;1
47;20000.0;2.0;;2.0;22.0;0;0;2;-1;0;0;14028.0;16484.0;15800.0;16341.0;16675.0;0.0;3000.0;0.0;16741.0;334.0;0.0;0.0;1;0.9478277594505263;79328.0;990.353.755.128.617;City_43;1
48;150000.0;2.0;5.0;2.0;46.0;0;0;-1;0;0;-2;4463.0;3034.0;1170.0;1170.0;0.0;0.0;1013.0;1170.0;0.0;0.0;0.0;0.0;1;1.037.547.794.332.670;9837.0;11.918.397.239.722.800;City_37;1
49;380000.0;1.0;2.0;2.0;32.0;-1;-1;-1;-1;-1;-1;22401.0;21540.0;15134.0;32018.0;11849.0;11873.0;21540.0;15138.0;24677.0;11851.0;11875.0;8251.0;0;0.19613939785279272;114815.0;12.847.929.163.278.000;City_46;1
50;20000.0;1.0;1.0;2.0;24.0;0;0;0;0;0;0;17447.0;18479.0;19476.0;19865.0;20480.0;20063.0;1318.0;1315.0;704.0;928.0;912.0;1069.0;0;0.10205164069698497;115810.0;990.353.755.128.617;City_50;1
51;70000.0;1.0;3.0;2.0;42.0;1;2;2;2;2;0;37042.0;36171.0;38355.0;39423.0;38659.0;39362.0;0.0;3100.0;2000.0;0.0;1500.0;1500.0;1;0.9117037592948093;229012.0;11.156.264.806.643.700;City_13;2
52;100000.0;2.0;3.0;;43.0;0;0;0;0;0;0;61559.0;51163.0;43824.0;39619.0;35762.0;33258.0;2000.0;1606.0;1500.0;2000.0;1500.0;1000.0;0;0.04878048915345703;265185.0;1.151.293.546.492.020;City_20;1
53;310000.0;2.0;2.0;1.0;49.0;-2;-2;-2;-2;-2;-2;13465.0;7867.0;7600.0;11185.0;3544.0;464.0;7875.0;7600.0;11185.0;3544.0;464.0;0.0;0;-0.034680432332782146;44125.0;12.644.330.802.262.500;City_7;1
54;180000.0;2.0;1.0;2.0;25.0;1;2;0;0;0;0;41402.0;41742.0;42758.0;43510.0;44420.0;45319.0;1300.0;2010.0;1762.0;1762.0;1790.0;1622.0;0;-0.026980223424671976;259151.0;12.100.717.685.412.400;City_28;2
55;150000.0;2.0;;2.0;;2;0;0;0;0;0;46224.0;34993.0;31434.0;26518.0;21042.0;16540.0;1600.0;1718.0;1049.0;1500.0;2000.0;5000.0;0;0.03663371407214553;176751.0;11.918.397.239.722.800;City_38;2
56;500000.0;2.0;1.0;1.0;45.0;-2;-2;-2;-2;-2;-2;1905.0;3640.0;162.0;0.0;151.0;2530.0;3640.0;162.0;0.0;151.0;2530.0;0.0;0;-0.03616277330818231;8388.0;13.122.365.377.402.300;City_7;1
57;180000.0;2.0;3.0;1.0;34.0;0;0;0;-1;-1;-1;16386.0;15793.0;8441.0;7142.0;-679.0;8321.0;;1500.0;7500.0;679.0;9000.0;2000.0;0;-0.023534155080818193;55404.0;12.100.717.685.412.400;City_13;1
58;180000.0;2.0;2.0;1.0;34.0;0;0;0;0;0;0;175886.0;173440.0;172308.0;168608.0;132202.0;129918.0;8083.0;7296.0;5253.0;4814.0;4816.0;3800.0;0;-0.09223529086195464;952362.0;12.100.717.685.412.400;City_16;1
59;200000.0;2.0;1.0;2.0;34.0;-1;3;2;2;2;2;1587.0;1098.0;782.0;1166.0;700.0;1414.0;0.0;0.0;700.0;0.0;1200.0;0.0;0;-0.0030294501664824385;6747.0;12.206.077.645.517.600;City_42;1
60;400000.0;2.0;2.0;1.0;29.0;0;0;0;0;0;0;400134.0;398857.0;404205.0;360199.0;356656.0;364089.0;17000.0;15029.0;30000.0;12000.0;12000.0;23000.0;0;0.006902419187798678;2284140.0;12.899.222.326.086.900;City_26;1
61;500000.0;2.0;3.0;1.0;28.0;0;0;0;0;0;0;22848.0;23638.0;18878.0;14937.0;13827.0;15571.0;1516.0;1300.0;1000.0;1000.0;2000.0;2000.0;1;10.662.672.378.008.800;109699.0;13.122.365.377.402.300;City_32;1
62;70000.0;1.0;2.0;1.0;39.0;0;0;0;0;0;-1;70800.0;72060.0;69938.0;16518.0;14096.0;830.0;4025.0;2095.0;1000.0;2000.0;3000.0;0.0;0;-0.17484240494454348;244242.0;11.156.264.806.643.700;City_7;1
63;50000.0;1.0;1.0;2.0;29.0;2;2;2;2;2;2;24987.0;24300.0;26591.0;25865.0;27667.0;28264.0;;2700.0;0.0;2225.0;1200.0;0.0;1;10.275.630.655.404.000;157674.0;10.819.798.284.210.200;City_37;2
64;50000.0;2.0;2.0;1.0;46.0;0;0;0;-2;-2;-2;28718.0;29166.0;0.0;0.0;0.0;0.0;1000.0;0.0;0.0;0.0;0.0;0.0;1;0.9003400066340408;57884.0;10.819.798.284.210.200;City_3;1
65;130000.0;2.0;2.0;1.0;51.0;-1;-1;-2;-2;-1;-1;99.0;0.0;0.0;0.0;2353.0;0.0;0.0;0.0;0.0;2353.0;0.0;0.0;0;-0.21850504424057388;2452.0;11.775.297.421.715.800;City_13;1
66;200000.0;1.0;;1.0;57.0;-2;-2;-2;-1;2;2;152519.0;148751.0;144076.0;8174.0;8198.0;7918.0;0.0;;8222.0;300.0;0.0;1000.0;1;11.089.974.030.088.700;469636.0;12.206.077.645.517.600;City_17;1
67;10000.0;1.0;2.0;1.0;56.0;2;2;2;0;0;0;2097.0;4193.0;3978.0;4062.0;4196.0;4326.0;2300.0;0.0;150.0;200.0;200.0;160.0;1;10.400.098.347.959.200;22852.0;9.210.440.366.976.510;City_47;2
68;210000.0;2.0;1.0;2.0;30.0;2;-1;-1;-1;-1;-1;300.0;300.0;1159.0;2280.0;300.0;4250.0;300.0;1159.0;2280.0;300.0;4250.0;909.0;0;0.18428393339995008;8589.0;1.225.486.757.159.300;City_26;2
69;130000.0;2.0;3.0;2.0;29.0;1;-2;-2;-1;2;-1;-190.0;-9850.0;-9850.0;10311.0;10161.0;7319.0;0.0;0.0;20161.0;0.0;7319.0;13899.0;0;0.04843237747203225;7901.0;11.775.297.421.715.800;City_36;2
70;20000.0;1.0;5.0;2.0;22.0;2;0;0;0;0;0;18565.0;17204.0;17285.0;18085.0;11205.0;5982.0;0.0;1200.0;1000.0;500.0;1000.0;0.0;0;0.07338671271930987;88326.0;990.353.755.128.617;City_3;2
71;80000.0;1.0;1.0;2.0;31.0;-1;-1;-1;-1;-1;-1;780.0;0.0;390.0;390.0;390.0;390.0;0.0;390.0;390.0;390.0;390.0;390.0;0;-0.17542553200058586;2340.0;11.289.794.413.577.800;City_13;1
72;320000.0;1.0;2.0;2.0;29.0;2;2;2;2;2;2;58267.0;59246.0;60184.0;58622.0;62307.0;63526.0;2500.0;2500.0;0.0;4800.0;2400.0;1600.0;1;10.771.558.340.833.400;362152.0;12.676.079.399.771.000;City_13;2
73;200000.0;2.0;2.0;1.0;32.0;-1;-1;-1;-1;2;-1;9076.0;5787.0;-684.0;5247.0;3848.0;3151.0;5818.0;15.0;9102.0;17.0;3165.0;1395.0;0;-0.008034923708853513;26425.0;12.206.077.645.517.600;City_2;1
74;290000.0;2.0;1.0;2.0;37.0;1;-2;-1;-1;-1;-1;0.0;0.0;3155.0;0.0;2359.0;0.0;0.0;3155.0;0.0;2359.0;0.0;0.0;0;-0.02942724397436542;5514.0;12.577.639.650.232.500;City_27;2
75;340000.0;1.0;1.0;;;-1;-1;-1;-1;-1;-1;3048.0;5550.0;23337.0;4291.0;80153.0;25820.0;5713.0;23453.0;4314.0;80552.0;25949.0;2016.0;0;0.03546980013463719;142199.0;1.273.670.383.776.440;City_14;1
76;20000.0;1.0;2.0;2.0;24.0;0;0;2;0;0;0;14619.0;17216.0;16642.0;16976.0;17332.0;18543.0;2850.0;0.0;610.0;630.0;1500.0;0.0;0;0.024747867334839274;101328.0;990.353.755.128.617;City_36;1
77;50000.0;1.0;3.0;;25.0;-1;0;0;0;0;0;42838.0;37225.0;36087.0;9636.0;9590.0;10030.0;1759.0;1779.0;320.0;500.0;1000.0;1000.0;0;-0.037473202440968155;145406.0;10.819.798.284.210.200;City_47;1
78;300000.0;2.0;1.0;1.0;45.0;-1;-1;-1;-1;-1;-1;291.0;291.0;291.0;291.0;291.0;291.0;291.0;291.0;291.0;291.0;291.0;291.0;0;0.1007964260548232;1746.0;12.611.541.086.966.100;City_38;1
79;30000.0;2.0;2.0;2.0;22.0;0;0;0;0;0;0;28387.0;29612.0;30326.0;28004.0;26446.0;6411.0;1686.0;1400.0;560.0;3000.0;1765.0;0.0;1;0.9779309962053104;149186.0;10.308.985.993.422.000;City_37;1
80;240000.0;2.0;;2.0;44.0;1;-2;-2;-2;-2;-2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;11.983.160.544.637.900;0.0;12.388.398.368.982.100;City_21;2
81;470000.0;2.0;3.0;3.0;33.0;0;0;0;0;0;0;165254.0;157784.0;162702.0;69923.0;29271.0;29889.0;6400.0;7566.0;3000.0;960.0;1000.0;3000.0;0;-0.014716282338727552;614823.0;13.060.490.101.343.500;City_27;1
82;360000.0;2.0;1.0;2.0;26.0;0;0;0;0;0;-1;23411.0;27796.0;30400.0;33100.0;180000.0;196.0;;3400.0;3100.0;146900.0;196.0;2963.0;0;0.009979727284781133;294903.0;12.793.862.088.206.200;City_38;1
83;60000.0;1.0;3.0;2.0;30.0;0;0;0;0;0;0;26324.0;27471.0;28108.0;21993.0;19899.0;19771.0;1576.0;1213.0;648.0;768.0;1140.0;0.0;1;10.251.876.554.738.200;143566.0;11.002.116.507.732.000;City_6;1
84;400000.0;2.0;2.0;1.0;44.0;0;0;2;0;0;0;131595.0;139060.0;126819.0;104430.0;104990.0;94058.0;10700.0;3.0;3050.0;3000.0;3200.0;2800.0;0;-0.05020956252973294;700952.0;12.899.222.326.086.900;City_33;1
85;50000.0;2.0;3.0;2.0;49.0;0;0;0;0;0;0;48909.0;47863.0;21489.0;20414.0;19342.0;19482.0;1676.0;1302.0;700.0;699.0;849.0;826.0;0;0.09634105446993263;177499.0;10.819.798.284.210.200;City_12;1
86;160000.0;1.0;2.0;2.0;33.0;0;0;0;0;0;0;130028.0;107808.0;71934.0;118418.0;118407.0;120418.0;4400.0;3547.0;80000.0;4500.0;4800.0;4500.0;0;0.08790405578594801;667013.0;11.982.935.344.196.400;City_30;1
87;360000.0;2.0;1.0;;;-1;-1;2;0;-1;-1;390.0;1170.0;780.0;390.0;390.0;390.0;1170.0;0.0;0.0;390.0;390.0;390.0;1;0.823753754317842;3510.0;12.793.862.088.206.200;City_9;1
88;160000.0;2.0;2.0;;32.0;0;0;0;0;0;-1;3826.0;4751.0;6604.0;8604.0;7072.0;766.0;1147.0;2000.0;2000.0;0.0;766.0;2303.0;0;-0.14180572453549387;31623.0;11.982.935.344.196.400;City_41;1
89;130000.0;2.0;1.0;1.0;35.0;0;0;0;-1;-1;-1;81313.0;117866.0;17740.0;1330.0;7095.0;1190.0;40000.0;5000.0;1330.0;7095.0;1190.0;2090.0;0;-0.2044741086470331;226534.0;11.775.297.421.715.800;City_14;1
90;20000.0;;;2.0;44.0;2;2;0;0;0;2;8583.0;8303.0;9651.0;10488.0;12314.0;11970.0;0.0;1651.0;1000.0;2000.0;0.0;1500.0;0;-0.09049738676867065;61309.0;990.353.755.128.617;City_11;2
91;200000.0;1.0;1.0;1.0;53.0;2;2;2;2;2;2;138180.0;140774.0;142460.0;144098.0;147124.0;149531.0;6300.0;5500.0;5500.0;5500.0;5000.0;5000.0;1;0.8678591770421952;862167.0;12.206.077.645.517.600;City_10;2
92;280000.0;2.0;1.0;2.0;39.0;-1;-1;-1;0;0;-2;7524.0;0.0;3968.0;3868.0;0.0;0.0;0.0;3968.0;0.0;0.0;0.0;0.0;0;-0.022627845469801317;15360.0;1.254.254.845.357.350;City_46;1
93;;2.0;;2.0;27.0;-2;-2;-2;-2;-2;-2;-2000.0;5555.0;0.0;0.0;0.0;0.0;7555.0;0.0;0.0;0.0;0.0;0.0;0;0.052827913838869256;3555.0;;City_3;1
94;160000.0;2.0;2.0;1.0;37.0;-1;-1;-1;-1;-1;-2;880.0;1602.0;840.0;840.0;0.0;0.0;1602.0;840.0;840.0;0.0;0.0;7736.0;0;0.2603048853113245;4162.0;11.982.935.344.196.400;City_20;1
95;60000.0;2.0;2.0;2.0;23.0;0;0;0;0;0;0;45648.0;46850.0;47214.0;19595.0;19209.0;19323.0;1937.0;1301.0;682.0;690.0;816.0;835.0;0;-0.10250957391297338;197839.0;11.002.116.507.732.000;City_50;1
96;90000.0;1.0;2.0;2.0;35.0;0;0;0;0;0;0;83725.0;85996.0;87653.0;35565.0;30942.0;30835.0;3621.0;3597.0;1179.0;1112.0;1104.0;1143.0;0;0.05344620235344723;354716.0;11.407.576.060.361.700;City_27;1
97;;1.0;1.0;1.0;43.0;-1;-1;-1;-1;-1;0;3967.0;8322.0;3394.0;6451.0;26370.0;9956.0;8339.0;3394.0;12902.0;27000.0;0.0;68978.0;0;0.16038966808608368;58460.0;;City_34;1
98;150000.0;1.0;1.0;2.0;27.0;0;0;0;0;0;0;86009.0;86108.0;89006.0;89775.0;87725.0;40788.0;4031.0;10006.0;3266.0;4040.0;1698.0;800.0;0;-0.059804286823225555;479411.0;11.918.397.239.722.800;City_3;1
99;50000.0;2.0;3.0;1.0;22.0;0;0;0;0;0;0;18722.0;18160.0;16997.0;13150.0;8866.0;7899.0;1411.0;1194.0;379.0;281.0;321.0;197.0;0;0.2622195284390858;83794.0;10.819.798.284.210.200;City_22;1
100;20000.0;1.0;2.0;1.0;38.0;0;0;0;0;0;-1;17973.0;19367.0;19559.0;18240.0;17928.0;150.0;1699.0;1460.0;626.0;1750.0;150.0;0.0;1;10.958.516.514.414.100;93217.0;990.353.755.128.617;City_43;1
101;140000.0;1.0;1.0;2.0;32.0;-2;-2;-2;-2;-2;-2;672.0;10212.0;850.0;415.0;100.0;1430.0;10212.0;850.0;415.0;100.0;1430.0;0.0;0;-0.08150921903747055;13679.0;11.849.404.844.423.000;City_18;1
102;380000.0;2.0;1.0;;30.0;-2;-2;-1;0;0;0;-81.0;-303.0;32475.0;32891.0;33564.0;34056.0;223.0;33178.0;1171.0;1197.0;1250.0;5000.0;0;-0.03386339539325847;132602.0;12.847.929.163.278.000;City_2;1
103;480000.0;1.0;1.0;1.0;63.0;0;0;0;2;2;0;422069.0;431342.0;479432.0;487066.0;471145.0;469961.0;16078.0;55693.0;17000.0;0.0;18000.0;24200.0;0;0.11709760283187637;2761015.0;13.081.543.466.215.200;City_9;1
104;50000.0;2.0;3.0;2.0;22.0;0;0;0;0;0;0;44698.0;42254.0;38347.0;32496.0;23477.0;24094.0;1767.0;1362.0;1002.0;840.0;995.0;904.0;1;0.9023578052639826;205366.0;10.819.798.284.210.200;City_9;1
105;60000.0;2.0;2.0;2.0;26.0;2;2;2;2;2;0;56685.0;55208.0;59175.0;60218.0;55447.0;55305.0;0.0;5000.0;2511.0;6.0;3000.0;3000.0;0;-0.12404753118663683;342038.0;11.002.116.507.732.000;City_21;2
106;70000.0;2.0;2.0;;24.0;-1;-1;-2;-2;-2;-1;5580.0;0.0;0.0;0.0;0.0;26529.0;0.0;0.0;0.0;0.0;26529.0;2000.0;0;-0.044435232433746134;32109.0;11.156.264.806.643.700;City_43;1
